dateTime,cpuTime,availRamMb,tcpv4TotalConn,tcpV6TotalConn,httpdSize,httpd1Size,httpd1Private,httpd1NPBytes,httpd1Handle,httpd2Size,total1911,established1911,time_wait1911,fin_wait1911,total1912,established1912,time_wait1912,fin_wait1912,total7077,established7077,time_wait7077,fin_wait7077,total7078,established7078,time_wait7078,fin_wait7078 
11/30/2023 12:37:38.481,38.330907825233808,8908,10548,0,4272128,24082821120,24802537472,7979408,66607,0,2,0,0,0,4675,3086,1587,0,1690,12,1676,0,263,260,1,0 
11/30/2023 12:38:36.539,21.361563127061146,8851,10570,0,4272128,24082821120,24802537472,8018320,66632,0,2,0,0,0,4663,2970,1691,0,1500,11,1487,0,49,44,3,0 
11/30/2023 12:39:36.713,29.465498446760996,8880,10604,0,4272128,24086605824,24806457344,8272064,66643,0,2,0,0,0,4736,2963,1771,0,1662,8,1652,0,39,36,1,0 
11/30/2023 12:40:37.708,25.76860899057024,8847,10584,0,4272128,24092532736,24812511232,7988488,66631,0,2,0,0,0,4704,2967,1735,0,1605,12,1591,0,53,48,3,0 
11/30/2023 12:41:37.758,31.464920505851225,8845,10596,0,4272128,24108081152,24828182528,8313032,66642,0,2,0,0,0,4662,2967,1693,0,1531,16,1513,0,37,34,1,0 
11/30/2023 12:42:38.049,31.959425847043399,8918,10593,0,4272128,24111841280,24832036864,8006464,66640,0,2,0,0,0,4681,2962,1717,0,1580,13,1565,0,37,32,3,0 
11/30/2023 12:43:37.068,26.397636602478869,8910,10592,0,4272128,24117084160,24838078464,8110656,66642,0,2,0,0,0,4784,2979,1802,0,1691,12,1677,0,43,38,3,0 
11/30/2023 12:44:37.757,25.496236924398975,8753,10613,0,4272128,24121827328,24842477568,8207984,66643,0,3,0,1,0,4682,2969,1711,0,1679,10,1667,0,44,38,4,0 
11/30/2023 12:45:40.721,34.87142393451952,8712,10598,0,4272128,24123682816,24844128256,8098080,66623,0,3,0,1,0,4648,2971,1675,0,1519,12,1505,0,40,38,0,0 
11/30/2023 12:46:38.401,28.680583641572721,8804,10596,0,4272128,24127545344,24847982592,7984520,66644,0,2,0,0,0,4638,2955,1681,0,1466,10,1454,0,62,58,2,0 
11/30/2023 12:47:38.531,40.783766694990845,8885,10602,0,4272128,24131891200,24852381696,8093592,66641,0,3,0,1,0,4733,2967,1764,0,1769,14,1753,0,40,36,2,0 
11/30/2023 12:48:38.979,40.440320114829731,8562,10608,0,4272128,24140500992,24861179904,8190184,66636,0,3,0,1,0,4725,2995,1728,0,1697,10,1684,0,55,50,3,0 
11/30/2023 12:49:52.327,94.746902740944392,8519,12975,0,4272128,24150794240,24871231488,8728096,68091,0,2,0,0,0,4851,3195,1653,0,2109,8,2099,0,223,216,5,0 
11/30/2023 12:52:15.571,100,8554,12652,0,4272128,24185327616,24905777152,8738304,67933,0,4,2,0,0,5511,3970,1530,0,1990,6,1982,0,977,974,1,0 
